All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           contigs
# misassemblies                    4      
    # relocations                  0      
    # translocations               0      
    # inversions                   0      
    # interspecies translocations  4      
# possibly misassembled contigs    0      
# misassembled contigs             4      
Misassembled contigs length        339551 
# local misassemblies              4      
# mismatches                       58748  
# indels                           36     
    # short indels                 36     
    # long indels                  0      
Indels length                      43     
