All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              6      
    # relocations            6      
    # translocations         0      
    # inversions             0      
# misassembled contigs       6      
Misassembled contigs length  8133   
# local misassemblies        0      
# mismatches                 5514   
# indels                     7      
    # short indels           7      
    # long indels            0      
Indels length                7      
