All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  6            
    # relocations                6            
    # translocations             0            
    # inversions                 0            
# possibly misassembled contigs  0            
# misassembled contigs           6            
Misassembled contigs length      6799         
# local misassemblies            2            
# mismatches                     13106        
# indels                         22           
    # short indels               22           
    # long indels                0            
Indels length                    30           
