All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         contigs
# misassemblies                  0      
    # relocations                0      
    # translocations             0      
    # inversions                 0      
# possibly misassembled contigs  0      
# misassembled contigs           0      
Misassembled contigs length      0      
# local misassemblies            1      
# mismatches                     23557  
# indels                         33     
    # short indels               33     
    # long indels                0      
Indels length                    33     
