All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           scaffolds
# misassemblies                    25       
    # relocations                  18       
    # translocations               0        
    # inversions                   6        
    # interspecies translocations  1        
# possibly misassembled contigs    1        
# misassembled contigs             19       
Misassembled contigs length        706576   
# local misassemblies              4        
# mismatches                       43043    
# indels                           42       
    # short indels                 38       
    # long indels                  4        
Indels length                      265      
