All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         contigs
# misassemblies                  1      
    # relocations                1      
    # translocations             0      
    # inversions                 0      
# possibly misassembled contigs  1      
# misassembled contigs           1      
Misassembled contigs length      349059 
# local misassemblies            1      
# mismatches                     16263  
# indels                         51     
    # short indels               51     
    # long indels                0      
Indels length                    51     
