All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# misassemblies              5            
    # relocations            5            
    # translocations         0            
    # inversions             0            
# misassembled contigs       4            
Misassembled contigs length  314605       
# local misassemblies        6            
# mismatches                 399          
# indels                     7            
    # short indels           6            
    # long indels            1            
Indels length                34           
