All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  38           
    # relocations                38           
    # translocations             0            
    # inversions                 0            
# possibly misassembled contigs  0            
# misassembled contigs           37           
Misassembled contigs length      39714        
# local misassemblies            0            
# mismatches                     18801        
# indels                         6            
    # short indels               6            
    # long indels                0            
Indels length                    6            
