All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           scaffolds
# misassemblies                    1        
    # relocations                  0        
    # translocations               0        
    # inversions                   0        
    # interspecies translocations  1        
# possibly misassembled contigs    0        
# misassembled contigs             1        
Misassembled contigs length        82061    
# local misassemblies              1        
# mismatches                       57888    
# indels                           77       
    # short indels                 77       
    # long indels                  0        
Indels length                      84       
